,temperature,time
0,21.7,2017/6/1 1:00:00
1,21.9,2017/6/1 2:00:00
2,21.9,2017/6/1 3:00:00
3,19.6,2017/6/1 4:00:00
4,20.3,2017/6/1 5:00:00
5,20.4,2017/6/1 6:00:00
6,20.1,2017/6/1 7:00:00
7,20.5,2017/6/1 8:00:00
8,22.0,2017/6/1 9:00:00
9,21.8,2017/6/1 10:00:00
10,23.1,2017/6/1 11:00:00
11,25.5,2017/6/1 12:00:00
12,23.4,2017/6/1 13:00:00
13,22.8,2017/6/1 14:00:00
14,22.3,2017/6/1 15:00:00
15,23.3,2017/6/1 16:00:00
16,22.1,2017/6/1 17:00:00
17,22.1,2017/6/1 18:00:00
18,21.2,2017/6/1 19:00:00
19,20.6,2017/6/1 20:00:00
20,20.1,2017/6/1 21:00:00
21,20.1,2017/6/1 22:00:00
22,20.8,2017/6/1 23:00:00
23,19.5,2017/6/2 00:00:00
24,20.5,2017/6/2 1:00:00
25,19.7,2017/6/2 2:00:00
26,20.0,2017/6/2 3:00:00
27,20.3,2017/6/2 4:00:00
28,20.5,2017/6/2 5:00:00
29,21.5,2017/6/2 6:00:00
30,22.5,2017/6/2 7:00:00
31,22.8,2017/6/2 8:00:00
32,26.0,2017/6/2 9:00:00
33,27.3,2017/6/2 10:00:00
34,27.3,2017/6/2 11:00:00
35,26.9,2017/6/2 12:00:00
36,26.3,2017/6/2 13:00:00
37,26.7,2017/6/2 14:00:00
38,26.6,2017/6/2 15:00:00
39,26.2,2017/6/2 16:00:00
40,25.3,2017/6/2 17:00:00
41,24.1,2017/6/2 18:00:00
42,22.8,2017/6/2 19:00:00
43,21.5,2017/6/2 20:00:00
44,20.3,2017/6/2 21:00:00
45,19.7,2017/6/2 22:00:00
46,19.1,2017/6/2 23:00:00
47,18.9,2017/6/3 00:00:00
48,18.2,2017/6/3 1:00:00
49,17.6,2017/6/3 2:00:00
50,16.9,2017/6/3 3:00:00
51,16.9,2017/6/3 4:00:00
